pixel_id,label,class_name,zone,split,soil_ph,soil_clay,soil_organic,.geo
0,1,Grapes,CA_Zone1,test,6.0,22.9,37.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.56015591141036,39.43735917737892]}"
2,1,Grapes,CA_Zone1,test,6.4,26.8,33.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62338170718232,39.02085097838884]}"
3,1,Grapes,CA_Zone1,test,6.5,26.3,33.8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62629955544074,39.02085097838884]}"
4,1,Grapes,CA_Zone1,test,6.5,26.3,33.8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62629955544074,39.02085097838884]}"
5,1,Grapes,CA_Zone1,test,6.2,27.5,30.6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.57183485754568,39.078705900379525]}"
6,1,Grapes,CA_Zone1,test,6.4,26.8,33.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62338170718232,39.02085097838884]}"
7,1,Grapes,CA_Zone1,test,6.5,27.4,39.2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.63243164253518,39.03197554601454]}"
8,1,Grapes,CA_Zone1,test,6.4,26.8,33.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62338170718232,39.02085097838884]}"
9,1,Grapes,CA_Zone1,test,6.4,26.8,33.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62338170718232,39.02085097838884]}"
10,1,Grapes,CA_Zone1,test,6.2,27.5,30.6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.57183485754568,39.078705900379525]}"
11,1,Grapes,CA_Zone1,test,6.4,26.8,33.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62338170718232,39.02085097838884]}"
12,1,Grapes,CA_Zone1,test,6.4,26.8,33.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62338170718232,39.02085097838884]}"
13,1,Grapes,CA_Zone1,test,6.4,26.8,33.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62338170718232,39.02085097838884]}"
15,1,Grapes,CA_Zone1,test,6.4,26.8,33.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62338170718232,39.02085097838884]}"
17,1,Grapes,CA_Zone1,test,6.0,22.9,37.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.56015591141036,39.43735917737892]}"
18,1,Grapes,CA_Zone1,test,6.0,22.9,37.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.56015591141036,39.43735917737892]}"
20,1,Grapes,CA_Zone1,test,6.4,26.8,33.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62338170718232,39.02085097838884]}"
21,1,Grapes,CA_Zone1,test,6.4,26.8,33.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62338170718232,39.02085097838884]}"
