pixel_id,class_name,zone,split,time_step,DOY,year,temperature_2m_C,dewpoint_temperature_2m_C,total_precipitation,temp_norm,prec_norm,dew_norm,.geo
0,Grapes,CA_Zone2,test,7,70,2021,12.037473742167151,2.0586730321248865,7.553179228904157E-4,0.2531592393777489,0.01844270090053354,0.4763434970114759,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.25055005739262,36.85016856228622]}"
1,Grapes,CA_Zone2,test,7,70,2021,12.093984158833848,2.206345558166504,7.718612153308897E-4,0.2589079777291363,0.019657805128181282,0.4727169819467627,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.15054959996444,36.85016856228622]}"
6,Grapes,CA_Zone2,test,7,70,2021,12.174957466125534,0.9701557795206668,7.311311263816862E-4,0.27786232730684,0.0151803307645615,0.44925554077297086,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.45055097224899,36.650167647429846]}"
7,Grapes,CA_Zone2,test,7,70,2021,12.42621072133386,1.5431456883748638,7.740982521551161E-4,0.26642146558328084,0.020816653660816187,0.4651855067181769,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.05054914253624,36.750168104858034]}"
8,Grapes,CA_Zone2,test,7,70,2021,12.605247179667174,0.7749409357707009,7.532261879098723E-4,0.26589375847763363,0.0203738583595674,0.4667310300192274,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.05054914253624,36.650167647429846]}"
9,Grapes,CA_Zone2,test,7,70,2021,12.037473742167151,2.0586730321248865,7.553179228904157E-4,0.2531592393777489,0.01844270090053354,0.4763434970114759,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.25055005739262,36.85016856228622]}"
10,Grapes,CA_Zone2,test,7,70,2021,12.605247179667174,0.7749409357707009,7.532261879098723E-4,0.26589375847763363,0.0203738583595674,0.4667310300192274,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.05054914253624,36.650167647429846]}"
11,Grapes,CA_Zone2,test,7,70,2021,12.42621072133386,1.5431456883748638,7.740982521551161E-4,0.26642146558328084,0.020816653660816187,0.4651855067181769,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.05054914253624,36.750168104858034]}"
12,Grapes,CA_Zone2,test,7,70,2021,12.037473742167151,2.0586730321248865,7.553179228904157E-4,0.2531592393777489,0.01844270090053354,0.4763434970114759,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.25055005739262,36.85016856228622]}"
14,Grapes,CA_Zone2,test,7,70,2021,12.037473742167151,2.0586730321248865,7.553179228904157E-4,0.2531592393777489,0.01844270090053354,0.4763434970114759,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.25055005739262,36.85016856228622]}"
17,Grapes,CA_Zone2,test,7,70,2021,12.004962348938022,2.2114969253540266,7.826611889131178E-4,0.2685831765742044,0.0204095483600609,0.47605350448674144,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.05054914253624,36.85016856228622]}"
18,Grapes,CA_Zone2,test,7,70,2021,12.037473742167151,2.0586730321248865,7.553179228904157E-4,0.2531592393777489,0.01844270090053354,0.4763434970114759,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.25055005739262,36.85016856228622]}"
19,Grapes,CA_Zone2,test,7,70,2021,12.48834451039636,0.03521925608316678,6.687845825753916E-4,0.2639688927318389,0.01750897018474453,0.46307002592902546,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.05054914253624,36.550167190001666]}"
21,Grapes,CA_Zone2,test,7,70,2021,11.649786567688011,1.3167866388956782,7.583916288715908E-4,0.2665134856590773,0.015919704157532813,0.4665477541726607,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.45055097224899,36.750168104858034]}"
