pixel_id,label,class_name,zone,split,elevation,landforms,.geo
0,1,Grapes,CA_Zone1,test,47,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.56172030071224,39.437836782685665]}"
2,1,Grapes,CA_Zone1,test,12,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62478203365743,39.02092865932579]}"
3,1,Grapes,CA_Zone1,test,13,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62532102282789,39.02092865932579]}"
4,1,Grapes,CA_Zone1,test,12,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62559051741313,39.02146764849627]}"
5,1,Grapes,CA_Zone1,test,16,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.57142210578073,39.07833100598103]}"
6,1,Grapes,CA_Zone1,test,15,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62505152824266,39.02146764849627]}"
7,1,Grapes,CA_Zone1,test,12,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.63205838745878,39.03143894815]}"
8,1,Grapes,CA_Zone1,test,16,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62478203365743,39.02146764849627]}"
9,1,Grapes,CA_Zone1,test,13,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62370405531648,39.02146764849627]}"
10,1,Grapes,CA_Zone1,test,17,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.57088311661025,39.07833100598103]}"
11,1,Grapes,CA_Zone1,test,16,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62478203365743,39.02146764849627]}"
12,1,Grapes,CA_Zone1,test,14,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62532102282789,39.02146764849627]}"
13,1,Grapes,CA_Zone1,test,13,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62478203365743,39.022006637666735]}"
15,1,Grapes,CA_Zone1,test,13,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.6239735499017,39.02146764849627]}"
17,1,Grapes,CA_Zone1,test,47,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.56198979529746,39.437836782685665]}"
18,1,Grapes,CA_Zone1,test,48,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.561450806127,39.437836782685665]}"
20,1,Grapes,CA_Zone1,test,13,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62451253907219,39.02092865932579]}"
21,1,Grapes,CA_Zone1,test,14,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62505152824266,39.022006637666735]}"
22,1,Grapes,CA_Zone1,test,12,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62424304448695,39.022006637666735]}"
25,1,Grapes,CA_Zone1,test,13,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62505152824266,39.02092865932579]}"
26,1,Grapes,CA_Zone1,test,12,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62424304448695,39.02092865932579]}"
27,1,Grapes,CA_Zone1,test,67,31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.78270586060563,39.19529165597339]}"
28,1,Grapes,CA_Zone1,test,13,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62370405531648,39.022006637666735]}"
30,2,Rice,CA_Zone1,test,20,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.899666510598,39.388519273587505]}"
32,2,Rice,CA_Zone1,test,13,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.73284936233699,39.11471277498787]}"
33,2,Rice,CA_Zone1,test,24,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.90694286439935,39.3952566382184]}"
34,2,Rice,CA_Zone1,test,27,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.561450806127,39.29473515792542]}"
35,2,Rice,CA_Zone1,test,25,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.53935225013765,39.254041475554814]}"
36,2,Rice,CA_Zone1,test,34,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.69188618538115,39.495778118511375]}"
37,2,Rice,CA_Zone1,test,22,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.81558420000441,39.439723244782314]}"
38,2,Rice,CA_Zone1,test,21,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.70482192547247,39.214695266110375]}"
41,2,Rice,CA_Zone1,test,11,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.79186867650365,39.12926548259061]}"
42,2,Rice,CA_Zone1,test,23,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.74874954286591,39.37423606057]}"
45,2,Rice,CA_Zone1,test,12,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.83929972350516,39.0893802839757]}"
47,2,Rice,CA_Zone1,test,26,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.76195477754247,39.34971205331354]}"
48,2,Rice,CA_Zone1,test,21,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.81046380288493,39.41196530250302]}"
49,2,Rice,CA_Zone1,test,11,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.74309015657596,39.08749382187905]}"
50,2,Rice,CA_Zone1,test,17,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.52021813458592,39.04626115033797]}"
51,2,Rice,CA_Zone1,test,33,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.67706398319318,39.435950320589015]}"
52,2,Rice,CA_Zone1,test,26,41,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.54177770140478,39.28422486910122]}"
53,2,Rice,CA_Zone1,test,16,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.85331344193743,39.41250429167349]}"
55,2,Rice,CA_Zone1,test,27,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.73177138399606,39.43109941805477]}"
56,2,Rice,CA_Zone1,test,21,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.74901903745115,39.31764219767047]}"
