system:index,B11_t24,B12_t24,B2_t24,B3_t24,B4_t24,B5_t24,B6_t24,B7_t24,B8A_t24,B8_t24,class,class_name,zone,.geo
0_0,2644.5,1943.0,405.0,541.0,799.0,1026.0,1208.0,1380.0,1650.0,1433.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.50032871526098,34.27333320348369]}"
1_0,2879.5,2205.5,470.0,617.0,927.5,1132.0,1235.5,1426.5,1716.0,1499.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.7040666216993,34.14164018283177]}"
2_0,3768.0,3785.0,816.0,990.0,1356.0,1662.0,1830.0,2050.0,2318.0,2080.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.74431114642785,34.17487784834419]}"
3_0,2949.0,2118.0,457.5,603.0,889.0,1127.5,1305.0,1495.5,1781.5,1562.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.50086770443146,34.26183476784696]}"
4_0,2157.5,1494.0,217.0,348.0,496.5,712.5,856.0,1000.0,1275.5,1038.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.85731920917009,34.306211542882465]}"
5_0,4661.5,3311.0,1006.0,1403.0,2150.0,2599.0,2733.0,3040.5,3485.5,3117.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.814559401646,34.294713107245734]}"
6_0,3555.5,2893.5,546.5,730.0,1012.0,1378.0,1573.5,1792.5,2048.0,1771.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.61477408245781,34.16050480379828]}"
7_0,4365.0,3134.0,807.0,1188.0,1796.0,2165.0,2365.0,2615.0,3073.0,2764.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.76605037630354,34.191227186515164]}"
8_0,4815.0,3660.0,1238.0,1625.0,2438.0,2765.5,2953.5,3197.0,3664.0,3502.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.6214216155603,34.17487784834419]}"
9_0,5167.0,4038.5,1094.0,1548.0,2261.0,2703.5,2879.0,3176.5,3567.5,3274.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.70155133890376,34.05198831747664]}"
10_0,4252.0,3613.5,891.5,1291.0,1939.0,2292.0,2420.0,2621.5,2932.0,2731.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.846180099647,34.17829144642385]}"
11_0,5130.0,3768.0,1018.0,1482.0,2258.0,2683.0,2922.0,3175.0,3641.0,3476.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.69418515357398,34.046598425771926]}"
12_0,5093.0,3955.0,1030.0,1484.0,2202.0,2570.0,2760.0,2945.0,3353.0,3200.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.73658563498442,34.026296500350824]}"
13_0,3973.5,2965.5,866.0,1220.0,1796.0,2066.0,2382.5,2683.0,3028.5,2748.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.89181451608027,34.325974479133095]}"
