system:index,B11_t15,B12_t15,B2_t15,B3_t15,B4_t15,B5_t15,B6_t15,B7_t15,B8A_t15,B8_t15,class,class_name,zone,.geo
9_0,1752.0,701.0,606.0,792.0,414.0,879.0,3654.0,4947.0,5023.0,5284.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.70155133890376,34.05198831747664]}"
17_0,2415.0,1366.0,1006.0,1300.0,1182.0,1656.0,3470.0,4493.0,4681.0,4628.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.70927685034718,34.046778088828745]}"
36_0,4005.0,2870.0,1110.0,1556.0,1446.0,2108.0,4365.0,5360.0,5629.0,5580.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.57812281886574,33.97976376863343]}"
67_0,2362.0,1071.0,560.0,719.0,447.0,886.0,3461.0,4576.0,4736.0,4532.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.64693376962929,33.955509255962205]}"
70_0,2117.0,1069.0,1078.0,1156.0,896.0,1231.0,3128.0,3926.0,4213.0,3532.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.73784327638218,34.08917857023919]}"
92_0,914.0,433.0,666.0,552.0,398.0,721.0,1415.0,1805.0,1811.0,2032.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.71376842676779,34.08342935242082]}"
106_0,1543.0,682.0,520.0,598.0,348.0,646.0,2550.0,3600.0,3800.0,3152.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.60273665765061,34.168948967469]}"
108_0,925.0,531.0,756.0,696.0,478.0,626.0,1682.0,2267.0,2329.0,2152.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.80755254242986,34.110199147887585]}"
111_0,2547.0,1314.0,1056.0,1136.0,880.0,1431.0,3699.0,4898.0,5108.0,4640.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.6282488117196,34.056300230840414]}"
113_0,1273.0,587.0,747.0,927.0,461.0,954.0,3018.0,3495.0,3498.0,3496.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.64513713906105,34.11576870264913]}"
121_0,2093.0,944.0,619.0,810.0,435.0,895.0,3406.0,4377.0,4412.0,4312.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.62375723529901,34.11073813705806]}"
137_0,2053.0,929.0,668.0,780.0,458.0,868.0,3362.0,4354.0,4415.0,4304.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.63417769259479,34.111636452342175]}"
140_0,2279.0,1299.0,857.0,1013.0,818.0,1301.0,2956.0,3512.0,3757.0,3560.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.58279405834315,33.973116235530945]}"
145_0,744.0,372.0,638.0,578.0,389.0,444.0,1328.0,1776.0,1778.0,1730.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.81581704304377,34.078758112943405]}"
154_0,2962.0,2385.0,1678.0,1888.0,2030.0,2449.0,3047.0,3320.0,3423.0,3020.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.65717456386825,33.96628903937164]}"
155_0,2531.0,1348.0,1118.0,1172.0,844.0,1324.0,3086.0,3836.0,4160.0,3620.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.54308852278507,34.34447977398596]}"
191_0,1981.0,959.0,968.0,1232.0,655.0,1456.0,3840.0,4436.0,4626.0,4108.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.64639478045882,34.12205690963796]}"
192_0,2103.0,971.0,612.0,791.0,470.0,911.0,3153.0,3930.0,4008.0,3828.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.6282488117196,34.11361274596724]}"
197_0,1972.0,1141.0,571.0,745.0,558.5,1007.0,2817.5,3757.0,3888.0,3734.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.65034736770895,34.005814911872896]}"
207_0,2404.0,1637.0,924.0,1064.0,954.0,1576.0,3063.0,3579.0,3716.0,3108.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.62357757224218,34.10912116954664]}"
219_0,2353.0,1125.0,1016.0,1114.0,840.0,1213.0,3983.0,5521.0,5912.0,4816.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.74538912476879,34.09295149443249]}"
242_0,3183.5,1986.0,829.5,1130.0,959.0,1589.5,3530.5,4141.0,4383.0,4144.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.82857312007826,34.029889761487304]}"
244_0,1927.0,837.0,746.0,853.0,536.0,978.0,3062.0,3735.0,3806.0,3760.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.6334590403675,34.11397207208089]}"
246_0,651.0,272.0,498.0,449.0,259.0,374.0,1463.0,2091.0,2120.0,2006.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.706402241438,34.041567860180855]}"
251_0,2185.0,1036.0,786.0,988.0,662.0,1169.0,3665.0,4825.0,4987.0,4764.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.70891752423354,34.04857471939699]}"
263_0,2691.0,1724.0,1034.0,1180.0,922.0,1477.0,3874.0,4968.0,5042.0,5176.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.63184207285609,34.05378494804488]}"
274_0,4464.0,3439.0,1016.0,1534.0,1570.0,2340.0,4201.0,4966.0,5269.0,5160.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.677835815403,34.006533564100195]}"
292_0,2000.0,777.0,549.0,686.0,350.0,767.0,4063.0,5977.0,6100.0,5860.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.6320217359129,34.05126966524934]}"
297_0,2468.0,1335.0,1040.0,1146.0,922.0,1615.0,3262.0,4030.0,4096.0,3956.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.709456513404,34.04570011048781]}"
317_0,3566.0,2556.0,1204.0,1576.0,1908.0,2492.0,3013.0,3233.0,3485.0,3180.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.62735049643548,34.0471374149424]}"
331_0,1096.0,448.0,493.0,522.0,293.0,536.0,2033.0,2728.0,2774.0,2286.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.62249959390124,34.111636452342175]}"
341_0,2304.0,1095.0,803.0,967.0,674.0,1091.0,3551.0,4970.5,5162.0,4744.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.53841728330765,34.182423696730794]}"
352_0,2332.0,1300.0,787.0,994.0,882.0,1364.0,3314.0,4289.0,4401.0,4636.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.59986204874143,34.168409978298534]}"
371_0,3038.0,1786.0,1032.0,1200.0,1019.0,1588.0,3863.0,4796.0,5098.0,4640.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.51254580312501,33.95155666871208]}"
376_0,2121.0,875.0,603.0,781.0,410.0,890.0,3611.0,4692.0,4826.0,4608.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.62950645311737,34.11433139819454]}"
386_0,2040.0,1255.0,1250.0,1256.0,1078.0,1354.0,3074.0,3883.0,3992.0,3476.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.70855819811989,34.04210684935133]}"
402_0,1732.0,705.0,605.0,714.0,398.0,822.0,3590.0,5021.0,5144.0,4952.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.706402241438,34.04767640411287]}"
406_0,2463.0,1382.0,720.0,972.0,728.0,1256.0,3775.0,5133.0,5319.0,5196.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.69005290326703,34.03222538122601]}"
416_0,2106.5,979.0,578.0,733.5,452.5,861.0,3513.0,5015.0,5335.0,4888.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.53536301134164,34.18278302284445]}"
