system:index,B11_t06,B12_t06,B2_t06,B3_t06,B4_t06,B5_t06,B6_t06,B7_t06,B8A_t06,B8_t06,class,class_name,zone,.geo
0_0,2029.0,1460.5,573.0,853.5,1057.0,1383.5,1531.0,1654.0,1807.5,1790.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.63471210748341,35.61038567236719]}"
1_0,2527.0,1761.0,689.0,889.0,1019.0,1238.0,1454.0,1509.0,1842.0,1826.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.6158474865169,35.58074126799124]}"
2_0,2904.0,2028.0,535.0,792.0,967.0,1409.0,1995.0,2271.0,2574.0,2532.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.52547696893448,35.80855402404395]}"
3_0,2435.0,1483.0,518.0,944.0,1001.0,2059.0,3286.0,3589.0,3883.0,3896.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.52799225173001,35.62996894556099]}"
4_0,2134.0,1407.0,407.0,642.0,772.0,1122.0,1521.0,1691.0,1936.0,1932.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.35066481464482,35.67775931867615]}"
5_0,2819.5,2259.0,691.0,970.0,1315.0,1510.5,1585.0,1712.0,1865.0,1881.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.74035398489586,35.51157099111404]}"
6_0,2669.0,1810.0,541.0,799.0,931.0,1553.0,2267.0,2502.0,2750.0,2758.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.46367287738705,35.804601436793824]}"
7_0,2141.0,1372.0,342.0,583.0,669.0,1224.0,1841.0,2088.0,2420.0,2372.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.47606962830791,35.74944487834889]}"
8_0,2839.5,2081.5,756.0,1028.0,1135.0,1631.5,2317.0,2506.5,2743.5,2771.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.65106144565439,35.76417724900845]}"
9_0,2601.0,1947.5,666.5,896.0,1125.0,1340.5,1472.5,1580.0,1801.5,1807.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.62878322660822,35.687101797630994]}"
