system:index,B11_t14,B12_t14,B2_t14,B3_t14,B4_t14,B5_t14,B6_t14,B7_t14,B8A_t14,B8_t14,class,class_name,zone,.geo
0_0,4774.5,3790.5,1617.0,2016.0,2076.0,2716.0,3884.0,4401.0,4740.5,4476.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.50032871526098,34.27333320348369]}"
1_0,4224.5,3318.0,1081.0,1545.0,1641.0,2244.0,3896.0,4465.0,4720.5,4596.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.7040666216993,34.14164018283177]}"
2_0,952.0,601.0,373.0,376.0,275.0,472.0,1249.0,1793.0,1827.0,1536.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.74431114642785,34.17487784834419]}"
3_0,3084.0,1816.0,548.0,911.0,653.5,1240.0,4113.5,5526.0,5539.5,5724.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.50086770443146,34.26183476784696]}"
6_0,2567.5,1264.5,479.0,733.5,447.0,1024.5,4202.0,6102.5,6332.5,6326.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.61477408245781,34.16050480379828]}"
7_0,3351.0,2214.5,640.5,965.0,891.5,1487.5,3694.0,4728.5,4956.5,4864.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.76605037630354,34.191227186515164]}"
8_0,2394.0,1328.5,568.0,791.0,589.5,1072.5,3701.5,5325.0,5565.5,5310.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.6214216155603,34.17487784834419]}"
9_0,3390.0,2302.5,891.5,1308.0,1193.0,1835.0,4344.5,5579.5,5732.5,5596.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.70155133890376,34.05198831747664]}"
11_0,2111.0,1236.0,552.0,835.0,772.0,1246.0,3247.0,4093.0,4326.0,4244.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.69418515357398,34.046598425771926]}"
12_0,2601.0,1328.0,479.0,781.0,503.0,1085.0,3955.0,5162.0,5370.0,5356.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.73658563498442,34.026296500350824]}"
17_0,3236.5,2033.0,710.5,1030.0,858.0,1364.0,4058.5,5363.5,5551.0,5534.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.70927685034718,34.046778088828745]}"
20_0,2393.0,1392.0,539.0,875.0,719.0,1246.5,3414.0,4251.5,4528.5,4400.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.81222378190728,34.070134286215854]}"
21_0,3156.5,2093.5,619.5,924.5,855.0,1364.0,3524.5,4530.5,4752.5,4558.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.7040666216993,34.18781358843551]}"
23_0,2387.5,1733.5,647.0,948.0,936.0,1340.5,2217.0,2591.0,2744.5,2587.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.89630609250086,34.3290287510991]}"
24_0,2475.0,1641.0,1014.0,1320.0,1332.0,1738.0,2768.0,3046.0,3142.0,3324.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.54434616418284,33.95101767954161]}"
25_0,3669.5,2696.0,1095.0,1394.0,1467.0,1798.5,3126.0,3683.0,3872.0,3870.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.51218647701135,34.01479806471409]}"
26_0,4425.0,3440.0,1452.0,1786.0,1970.0,2496.0,3852.0,4432.0,4760.0,4532.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.52781716295505,34.040310218783084]}"
