system:index,B11_t20,B12_t20,B2_t20,B3_t20,B4_t20,B5_t20,B6_t20,B7_t20,B8A_t20,B8_t20,class,class_name,zone,.geo
0_0,1830.0,769.5,340.0,529.5,307.0,682.5,3187.0,4648.5,4947.5,4638.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.50032871526098,34.27333320348369]}"
1_0,1944.0,759.0,433.0,670.0,336.0,849.0,3803.0,5548.0,5842.0,5348.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.7040666216993,34.14164018283177]}"
2_0,2581.0,1573.0,700.0,916.0,836.0,1442.0,2429.0,2898.0,3301.0,2940.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.74431114642785,34.17487784834419]}"
3_0,1698.5,716.5,394.0,542.5,302.0,687.5,3102.5,4867.5,5234.0,4840.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.50086770443146,34.26183476784696]}"
5_0,1612.0,721.5,405.0,607.0,383.0,783.0,2639.5,4125.5,4375.0,3946.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.814559401646,34.294713107245734]}"
6_0,2316.5,1217.5,480.5,727.0,545.0,1027.5,3076.5,4171.5,4545.0,4190.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.61477408245781,34.16050480379828]}"
7_0,2297.5,1151.0,515.0,727.5,559.0,1023.5,2992.5,4257.0,4702.0,4094.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.76605037630354,34.191227186515164]}"
8_0,1976.0,890.5,495.5,668.5,463.5,905.0,2851.0,3873.0,4233.5,3850.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.6214216155603,34.17487784834419]}"
9_0,1969.0,891.5,420.0,630.0,407.5,869.5,3181.0,4497.0,4850.0,4436.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.70155133890376,34.05198831747664]}"
11_0,2119.5,989.0,528.0,741.5,511.0,978.5,3437.0,5380.0,5698.0,5226.0,1,Corn,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.69418515357398,34.046598425771926]}"
