system:index,B11_t02,B12_t02,B2_t02,B3_t02,B4_t02,B5_t02,B6_t02,B7_t02,B8A_t02,B8_t02,class,class_name,zone,.geo
8_0,2854.5,2011.0,823.5,1064.0,1220.0,1684.0,2253.5,2413.5,2608.5,2737.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.65106144565439,35.76417724900845]}"
9_0,1848.0,1251.0,802.0,877.0,938.0,1138.0,1255.0,1290.0,1370.0,1648.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.62878322660822,35.687101797630994]}"
23_0,3422.0,2907.0,1120.0,1512.0,1902.0,2162.0,2292.0,2408.0,2599.0,2680.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.58674207131143,35.79184535975933]}"
27_0,2981.0,2165.0,1058.0,1432.0,1938.0,2347.0,2504.0,2653.0,2926.0,2986.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.71070958051992,35.75663140062184]}"
30_0,2556.5,2022.0,884.5,1112.0,1361.0,1553.5,1613.0,1710.5,1876.0,1937.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.55080945994665,35.82903561252188]}"
32_0,2806.0,2134.0,844.0,1253.0,1642.0,1936.5,2027.0,2147.0,2315.5,2252.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.61602714957372,35.75357712865584]}"
34_0,2499.5,1912.0,803.0,1061.0,1367.0,1562.0,1640.0,1757.5,1931.0,1951.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.58746072353873,35.84340865706779]}"
41_0,3154.0,2491.0,1448.0,1716.0,2010.0,2341.0,2529.0,2657.0,2882.0,2790.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.63201716163105,35.60212117175329]}"
42_0,3346.5,2534.0,1000.0,1263.0,1672.0,1933.5,2094.0,2241.5,2511.5,2501.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.71484183082687,35.59062273611656]}"
44_0,1966.5,1407.5,662.0,829.0,949.0,1240.5,1583.5,1707.5,1878.5,1770.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.64046132530177,35.77190276045188]}"
51_0,740.0,497.0,348.0,338.0,350.0,441.0,574.0,610.0,676.0,675.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.6000371375164,35.642545359538666]}"
56_0,2667.0,1893.5,760.5,996.0,1261.0,1459.0,1630.5,1774.5,1969.0,2001.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.74879814856659,35.5548697878086]}"
61_0,2750.0,2032.0,664.0,870.0,1050.0,1776.0,2387.0,2366.0,2625.0,2496.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.5903353324479,35.676861003392034]}"
64_0,3660.0,2856.0,1342.0,1656.0,2108.0,2389.0,2505.0,2693.0,2965.0,2902.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.65555302207498,35.71998013702977]}"
72_0,2893.5,2224.5,858.5,1194.0,1610.0,1859.5,1977.0,2092.0,2275.0,2374.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.74304893074823,35.772441749622345]}"
76_0,2339.0,1614.5,786.5,895.0,1103.0,1311.0,1464.0,1585.0,1837.0,1862.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.75095410524848,35.550378211388]}"
83_0,2272.0,1624.0,776.0,941.5,1252.0,1421.0,1498.5,1619.5,1787.0,1924.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.74789983328247,35.453899149873564]}"
87_0,1836.0,1632.0,425.0,448.0,688.0,983.0,1400.0,1582.0,1733.0,1080.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.60973894258488,35.70327147274514]}"
89_0,2097.5,1441.0,851.5,963.0,1080.0,1381.5,1754.5,1896.0,2103.0,2291.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.65699032652958,35.66715919832354]}"
97_0,2016.0,1638.5,715.0,782.0,944.0,1212.5,1468.0,1626.0,1803.0,1652.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.6864550678487,35.70039686383596]}"
99_0,2950.5,2475.5,998.5,1296.0,1571.0,1765.5,1881.0,1983.5,2172.0,2249.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.61692546485784,35.778909619668006]}"
100_0,1886.0,1356.0,857.0,1031.0,1214.5,1366.5,1441.5,1500.0,1593.5,1718.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.59842017000499,35.718542832575174]}"
103_0,2383.5,1874.0,831.0,1021.0,1216.0,1382.0,1464.5,1548.0,1711.5,1711.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.62878322660822,35.70991900584763]}"
104_0,2567.5,1944.0,761.0,1062.0,1358.0,1575.0,1710.0,1830.5,2003.0,2086.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.59195229995932,35.8464629290338]}"
107_0,935.0,601.0,523.0,528.5,498.5,716.5,1020.5,1070.0,1089.0,1218.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.75131343136212,35.53061527513737]}"
111_0,2818.0,2038.0,1048.0,1312.0,1642.0,1943.0,2108.0,2235.0,2394.0,2520.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.62536962852857,35.63410119586794]}"
117_0,3002.5,2278.5,950.5,1062.0,1253.0,1550.5,1884.5,1993.5,2213.5,2317.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.7376590390435,35.48264523896539]}"
125_0,2385.0,2142.0,1146.0,1182.0,1462.0,1620.0,1762.0,1834.0,1969.0,1770.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.61530849734643,35.6209857927198]}"
127_0,2076.0,1554.5,739.0,962.0,1151.0,1361.5,1426.5,1496.5,1650.5,1628.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.6278849113241,35.769567140713164]}"
129_0,3120.5,2405.5,883.5,1254.0,1725.0,2023.0,2139.5,2279.0,2505.0,2503.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.75221174664624,35.77190276045188]}"
132_0,1763.5,1132.0,585.0,740.5,737.0,959.0,1464.5,1587.0,1723.5,1861.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.7518524205326,35.469889161930894]}"
136_0,2397.5,1855.5,758.0,960.5,1244.0,1385.5,1502.5,1581.0,1759.0,1840.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.58889802799332,35.84610360292015]}"
139_0,2105.0,1664.0,605.0,769.0,962.0,1132.0,1229.0,1318.0,1464.5,1447.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.56751812423127,35.83137123226059]}"
140_0,3119.0,2225.0,910.0,1184.0,1540.0,1839.0,2027.0,2230.0,2483.0,2542.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.65465470679086,35.771004445167755]}"
141_0,3212.0,2514.0,1064.0,1410.0,1878.0,2101.0,2240.0,2367.0,2579.0,2712.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.58548442991366,35.7968759253504]}"
144_0,2567.0,1957.0,728.0,930.0,1100.0,1392.0,1668.0,1757.0,1982.0,1980.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.57883689681118,35.772441749622345]}"
146_0,3256.0,2590.0,1163.0,1439.0,1854.0,2011.5,2259.5,2400.0,2626.5,2716.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.58422678851589,35.798672555918635]}"
147_0,2499.0,1713.0,678.0,798.0,960.0,1434.0,1922.0,2125.0,2299.0,2284.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.53661607845756,35.8412527003859]}"
152_0,2367.0,2056.5,604.5,777.0,987.5,1244.5,1520.5,1793.0,2034.5,1528.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.73352678873655,35.50887604526168]}"
156_0,3332.5,2641.5,1009.0,1342.0,1814.0,2107.0,2282.5,2458.5,2676.5,2619.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.74574387660059,35.7675908470881]}"
