system:index,B11_t14,B12_t14,B2_t14,B3_t14,B4_t14,B5_t14,B6_t14,B7_t14,B8A_t14,B8_t14,class,class_name,zone,.geo
0_0,1771.0,1088.0,645.0,708.0,730.0,978.0,1557.0,1853.0,2060.0,1604.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.63471210748341,35.61038567236719]}"
2_0,3031.0,1925.0,684.0,1011.0,944.0,1422.0,2533.0,2899.0,3121.0,3120.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.52547696893448,35.80855402404395]}"
3_0,4309.5,3274.5,1261.5,1596.0,1657.0,2375.5,3670.0,4154.0,4391.0,4400.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.52799225173001,35.62996894556099]}"
4_0,2078.0,1198.0,591.0,814.0,730.0,1088.0,1962.0,2155.0,2302.0,2248.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.35066481464482,35.67775931867615]}"
5_0,2445.5,2004.0,986.0,1304.0,1381.0,1607.5,2218.5,2445.0,2515.5,2411.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.74035398489586,35.51157099111404]}"
6_0,3478.0,2240.0,679.0,966.0,932.0,1422.0,2558.0,2905.0,3211.0,3232.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.46367287738705,35.804601436793824]}"
7_0,2588.0,1737.5,813.0,1023.0,1022.5,1396.5,2208.5,2526.5,2709.0,2571.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.47606962830791,35.74944487834889]}"
8_0,4908.0,4028.0,1456.0,1904.0,1946.0,2592.0,3680.0,4114.0,4317.0,4116.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.65106144565439,35.76417724900845]}"
9_0,2892.0,1836.0,832.0,1116.0,988.0,1515.0,2795.0,3147.0,3283.0,3440.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.62878322660822,35.687101797630994]}"
11_0,2885.0,1987.0,844.0,1075.5,1024.0,1649.5,2834.0,3355.5,3471.5,3260.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.47966288944438,35.73668880131439]}"
12_0,2809.0,1820.0,678.0,963.0,874.0,1309.0,2647.0,3072.0,3285.0,3220.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.56967408091316,35.598887236730455]}"
13_0,3622.5,2553.0,1220.0,1500.0,1549.0,2097.5,3039.0,3327.5,3462.0,3544.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.65357672844992,35.662308295789295]}"
14_0,3145.0,1937.0,1104.0,1412.0,1368.0,1878.0,3514.0,4154.0,4403.0,4484.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.50948695687715,35.82652032972634]}"
15_0,3770.0,2863.5,1055.0,1390.5,1423.0,1975.0,2959.5,3369.5,3564.0,3517.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.47858491110344,35.5917007144575]}"
