system:index,B11_t19,B12_t19,B2_t19,B3_t19,B4_t19,B5_t19,B6_t19,B7_t19,B8A_t19,B8_t19,class,class_name,zone,.geo
0_0,2115.0,1113.0,481.0,658.0,534.0,816.0,2636.0,3882.0,3987.0,3588.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.63471210748341,35.61038567236719]}"
1_0,2004.5,1150.5,385.0,612.0,369.5,653.5,2839.0,4108.5,4362.5,4084.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.6158474865169,35.58074126799124]}"
2_0,1954.0,847.0,488.0,642.0,445.0,831.0,3156.0,5047.0,5397.0,5048.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.52547696893448,35.80855402404395]}"
3_0,1745.0,720.0,405.0,536.0,349.0,639.0,2810.0,4684.0,4935.0,4760.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.52799225173001,35.62996894556099]}"
4_0,1657.0,689.0,402.0,598.0,354.0,787.0,2926.0,4229.0,4363.0,4034.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.35066481464482,35.67775931867615]}"
5_0,1792.5,737.5,420.5,542.0,362.0,644.5,2787.5,4520.5,4822.5,4533.5,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.74035398489586,35.51157099111404]}"
6_0,1944.0,861.0,412.0,596.0,356.0,746.0,3076.0,4681.0,4872.0,4635.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.46367287738705,35.804601436793824]}"
7_0,1620.0,668.0,360.0,514.0,332.0,637.0,2770.0,4574.0,4741.0,4432.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.47606962830791,35.74944487834889]}"
8_0,1816.5,735.0,445.0,569.0,350.0,670.0,3133.5,5146.0,5508.0,5168.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.65106144565439,35.76417724900845]}"
9_0,1890.0,782.0,457.0,566.0,378.0,753.0,3093.0,4779.0,4928.0,4792.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.62878322660822,35.687101797630994]}"
10_0,1173.0,460.0,386.0,448.0,294.0,510.0,2097.0,3437.0,3461.0,3074.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.50337841294514,35.58954475777561]}"
11_0,1604.0,631.0,371.0,474.0,304.0,612.0,2787.0,4844.0,5094.0,4888.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.47966288944438,35.73668880131439]}"
12_0,1698.0,687.0,394.0,588.0,342.0,643.0,2893.0,4672.0,4929.0,4752.0,1,Corn,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.56967408091316,35.598887236730455]}"
