pixel_id,label,class_name,zone,split,time_step,DOY,year,is_missing,B2_Blue,B3_Green,B4_Red,B5_RedEdge1,B6_RedEdge2,B7_RedEdge3,B8_NIR,B8A_RedEdge4,B11_SWIR1,B12_SWIR2,.geo
0,1,Grapes,CA_Zone2,test,8,80,2021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.20549954589403,36.8446259569832]}"
1,1,Grapes,CA_Zone2,test,8,80,2021,0,0.06455,0.0887,0.09485,0.13245,0.179,0.19415,0.2061,0.20885,0.2177,0.1746,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.12653763241993,36.88019924223433]}"
2,1,Grapes,CA_Zone2,train,8,80,2021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.0602419644519,36.879121263893396]}"
3,1,Grapes,CA_Zone2,train,8,80,2021,0,0.0692,0.086,0.1148,0.13375,0.1407,0.15605,0.1768,0.18365,0.32805,0.2884,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.16211091767106,36.88154671516052]}"
4,1,Grapes,CA_Zone2,train,8,80,2021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.05970297528143,36.796116931640746]}"
5,1,Grapes,CA_Zone2,train,8,80,2021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.16103293933011,36.788032094083675]}"
6,1,Grapes,CA_Zone2,test,8,80,2021,0,0.0932,0.12555,0.1483,0.17815,0.20105,0.2151,0.2322,0.2289,0.2993,0.23955,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.49143330082927,36.623909891675034]}"
7,1,Grapes,CA_Zone2,test,8,80,2021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.07937608000364,36.74706891712783]}"
8,1,Grapes,CA_Zone2,test,8,80,2021,0,0.0899,0.1094,0.127,0.1589,0.1911,0.2071,0.224,0.2304,0.2927,0.2432,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.00822950950138,36.60612324904947]}"
9,1,Grapes,CA_Zone2,test,8,80,2021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.25023564704318,36.82818678728382]}"
10,1,Grapes,CA_Zone2,test,8,80,2021,0,0.1003,0.1266,0.1622,0.1873,0.19375,0.2085,0.222,0.2277,0.2953,0.2665,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.05566055650289,36.64870339351673]}"
11,1,Grapes,CA_Zone2,test,8,80,2021,0,0.0656,0.0862,0.0899,0.1305,0.2029,0.2138,0.2403,0.2413,0.28045,0.232,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.01119394993897,36.79153552369174]}"
12,1,Grapes,CA_Zone2,test,8,80,2021,0,0.0617,0.08355,0.0862,0.12565,0.21325,0.2421,0.2533,0.26165,0.2343,0.1811,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.21385387803633,36.83222920606235]}"
