pixel_id,label,class_name,zone,split,time_step,DOY,year,is_missing,B2_Blue,B3_Green,B4_Red,B5_RedEdge1,B6_RedEdge2,B7_RedEdge3,B8_NIR,B8A_RedEdge4,B11_SWIR1,B12_SWIR2,.geo
0,1,Grapes,CA_Zone1,test,17,170,2021,0,0.0832,0.1302,0.2151,0.25555,0.2966,0.32655,0.3729,0.37915,0.4286,0.2779,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.56159629880085,39.43770285612261]}"
1,1,Grapes,CA_Zone1,train,17,170,2021,0,0.08615,0.1174,0.1713,0.1974,0.20135,0.2242,0.24405,0.25645,0.4051,0.34355,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62384954799033,39.02187271110369]}"
2,1,Grapes,CA_Zone1,test,17,170,2021,0,0.0897,0.1208,0.1694,0.1902,0.19815,0.21455,0.2324,0.2461,0.39775,0.34165,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62465803174605,39.02106422734798]}"
3,1,Grapes,CA_Zone1,test,17,170,2021,0,0.108,0.1471,0.2016,0.20435,0.21565,0.2407,0.2666,0.27285,0.411,0.3473,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62519702091652,39.02106422734798]}"
4,1,Grapes,CA_Zone1,test,17,170,2021,0,0.1216,0.167,0.2143,0.21945,0.23595,0.2546,0.28115,0.2781,0.38805,0.34125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62546651550176,39.02133372193322]}"
5,1,Grapes,CA_Zone1,test,17,170,2021,0,0.0492,0.0919,0.10155,0.18835,0.27035,0.30965,0.31395,0.3437,0.3374,0.2215,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.57129810386935,39.07819707941798]}"
6,1,Grapes,CA_Zone1,test,17,170,2021,0,0.08195,0.1136,0.1625,0.1914,0.20105,0.22455,0.23545,0.2575,0.41275,0.3486,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62492752633128,39.02133372193322]}"
7,1,Grapes,CA_Zone1,test,17,170,2021,0,0.0569,0.08885,0.10615,0.1411,0.1902,0.21405,0.22275,0.2233,0.2151,0.1627,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.63193438554741,39.031305021586945]}"
8,1,Grapes,CA_Zone1,test,17,170,2021,0,0.097,0.1313,0.1851,0.1973,0.20565,0.2244,0.24695,0.2547,0.41405,0.3526,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62465803174605,39.02160321651845]}"
9,1,Grapes,CA_Zone1,test,17,170,2021,0,0.08425,0.1174,0.1678,0.1913,0.1982,0.2176,0.2354,0.25225,0.4013,0.33715,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.6235800534051,39.02160321651845]}"
