pixel_id,label,class_name,zone,split,time_step,DOY,year,is_missing,B2_Blue,B3_Green,B4_Red,B5_RedEdge1,B6_RedEdge2,B7_RedEdge3,B8_NIR,B8A_RedEdge4,B11_SWIR1,B12_SWIR2,.geo
0,1,Grapes,CA_Zone1,test,19,190,2021,0,0.0927,0.149,0.243,0.2846,0.3099,0.3316,0.3909,0.3889,0.4384,0.2862,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.56159629880085,39.43770285612261]}"
1,1,Grapes,CA_Zone1,train,19,190,2021,0,0.06,0.0892,0.1384,0.1617,0.1755,0.1972,0.2269,0.239,0.4037,0.3202,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62384954799033,39.02187271110369]}"
2,1,Grapes,CA_Zone1,test,19,190,2021,0,0.0846,0.1158,0.1672,0.1876,0.1953,0.2204,0.2479,0.2511,0.3994,0.3253,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62465803174605,39.02106422734798]}"
3,1,Grapes,CA_Zone1,test,19,190,2021,0,0.0662,0.0955,0.1534,0.1835,0.1905,0.2145,0.2509,0.2577,0.4145,0.3258,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62519702091652,39.02106422734798]}"
4,1,Grapes,CA_Zone1,test,19,190,2021,0,0.1132,0.1608,0.2114,0.2229,0.2282,0.248,0.2907,0.2792,0.3943,0.3289,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62546651550176,39.02133372193322]}"
5,1,Grapes,CA_Zone1,test,19,190,2021,0,0.0512,0.0892,0.0926,0.179,0.2738,0.3152,0.3219,0.3448,0.3118,0.2036,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.57129810386935,39.07819707941798]}"
6,1,Grapes,CA_Zone1,test,19,190,2021,0,0.0607,0.091,0.146,0.1722,0.1862,0.2075,0.2402,0.2496,0.4126,0.3243,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62492752633128,39.02133372193322]}"
7,1,Grapes,CA_Zone1,test,19,190,2021,0,0.0658,0.0958,0.1202,0.1421,0.187,0.2051,0.2264,0.2208,0.2272,0.1838,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.63193438554741,39.031305021586945]}"
8,1,Grapes,CA_Zone1,test,19,190,2021,0,0.0886,0.1246,0.1776,0.1965,0.2032,0.2235,0.26,0.259,0.4086,0.3331,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62465803174605,39.02160321651845]}"
9,1,Grapes,CA_Zone1,test,19,190,2021,0,0.0582,0.0846,0.1376,0.1608,0.178,0.2042,0.2351,0.2455,0.4119,0.3221,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.6235800534051,39.02160321651845]}"
10,1,Grapes,CA_Zone1,test,19,190,2021,0,0.0479,0.083,0.0968,0.1876,0.2858,0.3272,0.334,0.358,0.313,0.2152,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.57075911469887,39.07819707941798]}"
11,1,Grapes,CA_Zone1,test,19,190,2021,0,0.0932,0.1284,0.182,0.1913,0.205,0.2234,0.257,0.2574,0.4047,0.3297,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62465803174605,39.02133372193322]}"
12,1,Grapes,CA_Zone1,test,19,190,2021,0,0.065,0.094,0.1516,0.1703,0.1908,0.2156,0.2464,0.2545,0.4066,0.3182,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62519702091652,39.02133372193322]}"
