pixel_id,label,class_name,zone,split,time_step,DOY,year,is_missing,B2_Blue,B3_Green,B4_Red,B5_RedEdge1,B6_RedEdge2,B7_RedEdge3,B8_NIR,B8A_RedEdge4,B11_SWIR1,B12_SWIR2,.geo
0,1,Grapes,CA_Zone1,test,14,140,2021,0,0.0562,0.09135,0.1253,0.18225,0.28205,0.32805,0.3546,0.37405,0.3413,0.21225,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.56159629880085,39.43770285612261]}"
1,1,Grapes,CA_Zone1,train,14,140,2021,0,0.09725,0.1351,0.1851,0.20895,0.2133,0.2278,0.2411,0.24965,0.3593,0.3276,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62384954799033,39.02187271110369]}"
2,1,Grapes,CA_Zone1,test,14,140,2021,0,0.0986,0.1276,0.1732,0.18705,0.1943,0.21035,0.242,0.2389,0.3812,0.33405,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62465803174605,39.02106422734798]}"
3,1,Grapes,CA_Zone1,test,14,140,2021,0,0.1055,0.1409,0.1915,0.2083,0.2232,0.2393,0.2606,0.2704,0.4011,0.3517,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62519702091652,39.02106422734798]}"
4,1,Grapes,CA_Zone1,test,14,140,2021,0,0.1214,0.1627,0.2081,0.22655,0.23685,0.25085,0.27445,0.2715,0.3839,0.3404,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62546651550176,39.02133372193322]}"
5,1,Grapes,CA_Zone1,test,14,140,2021,0,0.04875,0.0855,0.0908,0.1802,0.27,0.30315,0.3204,0.3421,0.31965,0.2091,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.57129810386935,39.07819707941798]}"
6,1,Grapes,CA_Zone1,test,14,140,2021,0,0.103,0.1331,0.1819,0.20665,0.21225,0.2307,0.2492,0.2587,0.40395,0.35815,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62492752633128,39.02133372193322]}"
7,1,Grapes,CA_Zone1,test,14,140,2021,0,0.0638,0.0937,0.1175,0.14125,0.1751,0.19035,0.20235,0.2037,0.24095,0.2016,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.63193438554741,39.031305021586945]}"
8,1,Grapes,CA_Zone1,test,14,140,2021,0,0.10035,0.1342,0.1828,0.2029,0.2098,0.2283,0.2514,0.25715,0.40395,0.35645,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62465803174605,39.02160321651845]}"
9,1,Grapes,CA_Zone1,test,14,140,2021,0,0.0965,0.1371,0.1881,0.2072,0.2127,0.22665,0.2487,0.25095,0.35995,0.32425,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.6235800534051,39.02160321651845]}"
10,1,Grapes,CA_Zone1,test,14,140,2021,0,0.0468,0.0826,0.08615,0.1861,0.28305,0.3225,0.3351,0.3596,0.3173,0.21755,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.57075911469887,39.07819707941798]}"
11,1,Grapes,CA_Zone1,test,14,140,2021,0,0.09995,0.1333,0.1799,0.201,0.2077,0.22515,0.24485,0.25425,0.3981,0.3528,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62465803174605,39.02133372193322]}"
12,1,Grapes,CA_Zone1,test,14,140,2021,0,0.1056,0.1379,0.1892,0.2121,0.2194,0.2377,0.2574,0.26665,0.39765,0.35335,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62519702091652,39.02133372193322]}"
13,1,Grapes,CA_Zone1,test,14,140,2021,0,0.1021,0.1337,0.1834,0.20905,0.21525,0.2322,0.2518,0.2614,0.40175,0.3528,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62465803174605,39.02187271110369]}"
14,1,Grapes,CA_Zone1,val,14,140,2021,0,0.08605,0.1177,0.1611,0.18725,0.19365,0.2104,0.222,0.23415,0.3479,0.30685,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62411904257557,39.02133372193322]}"
15,1,Grapes,CA_Zone1,test,14,140,2021,0,0.08265,0.1174,0.1613,0.19105,0.1964,0.2143,0.22215,0.23605,0.3529,0.30985,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62384954799033,39.02133372193322]}"
16,1,Grapes,CA_Zone1,train,14,140,2021,0,0.08795,0.12,0.1665,0.1878,0.1933,0.20945,0.22265,0.2311,0.35175,0.3128,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62438853716081,39.02133372193322]}"
17,1,Grapes,CA_Zone1,test,14,140,2021,0,0.0581,0.09465,0.1247,0.1788,0.27865,0.3257,0.36105,0.3705,0.33725,0.2074,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.56186579338609,39.43797235070785]}"
18,1,Grapes,CA_Zone1,test,14,140,2021,0,0.05415,0.0875,0.1251,0.17595,0.27775,0.31855,0.35535,0.3614,0.3356,0.2113,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.56132680421562,39.43770285612261]}"
19,1,Grapes,CA_Zone1,val,14,140,2021,0,0.09655,0.1352,0.1848,0.2079,0.21305,0.22585,0.2406,0.25045,0.36155,0.3263,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62438853716081,39.02187271110369]}"
20,1,Grapes,CA_Zone1,test,14,140,2021,0,0.0847,0.11065,0.1521,0.1734,0.1833,0.19885,0.2171,0.2298,0.364,0.315,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62438853716081,39.02106422734798]}"
21,1,Grapes,CA_Zone1,test,14,140,2021,0,0.1015,0.1373,0.1868,0.2123,0.2203,0.2394,0.2572,0.2658,0.4018,0.35705,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62492752633128,39.02187271110369]}"
22,1,Grapes,CA_Zone1,test,14,140,2021,0,0.0971,0.1349,0.1839,0.20665,0.21075,0.22665,0.23755,0.24625,0.3552,0.32325,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62411904257557,39.02187271110369]}"
23,1,Grapes,CA_Zone1,train,14,140,2021,0,0.0636,0.09205,0.1147,0.1374,0.1713,0.18645,0.19415,0.19835,0.23185,0.19275,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.63166489096218,39.03157451617218]}"
24,1,Grapes,CA_Zone1,val,14,140,2021,0,0.0958,0.1346,0.1839,0.20395,0.20985,0.22475,0.2401,0.24405,0.35435,0.3195,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62384954799033,39.02160321651845]}"
25,1,Grapes,CA_Zone1,test,14,140,2021,0,0.1046,0.1387,0.1852,0.21065,0.2183,0.2373,0.2502,0.263,0.3965,0.3513,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62492752633128,39.02106422734798]}"
26,1,Grapes,CA_Zone1,test,14,140,2021,0,0.08315,0.1156,0.1577,0.17645,0.18515,0.204,0.2225,0.23075,0.3624,0.31455,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62411904257557,39.02106422734798]}"
27,1,Grapes,CA_Zone1,test,14,140,2021,0,0.1101,0.1486,0.2063,0.25465,0.27685,0.30145,0.30145,0.3345,0.4478,0.3591,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.78258185869426,39.19515772941034]}"
28,1,Grapes,CA_Zone1,test,14,140,2021,0,0.0981,0.1363,0.1907,0.214,0.219,0.2333,0.24675,0.2567,0.3668,0.33005,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.6235800534051,39.02187271110369]}"
29,1,Grapes,CA_Zone1,train,14,140,2021,0,0.0987,0.1356,0.1851,0.2038,0.2062,0.2226,0.23855,0.24375,0.3546,0.32095,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62438853716081,39.02160321651845]}"
30,2,Rice,CA_Zone1,test,14,140,2021,0,0.03225,0.06165,0.03805,0.09235,0.14105,0.15695,0.1534,0.13905,0.0618,0.03915,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.89954250868662,39.38838534702445]}"
31,2,Rice,CA_Zone1,val,14,140,2021,0,0.02965,0.0495,0.0492,0.0734,0.05925,0.0659,0.06095,0.0491,0.01895,0.0173,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.70308095604967,39.23100050924671]}"
32,2,Rice,CA_Zone1,test,14,140,2021,0,0.05145,0.0701,0.0769,0.0968,0.1072,0.11995,0.13175,0.12795,0.1159,0.0874,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.73272536042562,39.11484834301006]}"
33,2,Rice,CA_Zone1,test,14,140,2021,0,0.02305,0.0325,0.03165,0.05075,0.0489,0.05465,0.0548,0.04765,0.02105,0.01505,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.906818862488,39.39539220624059]}"
34,2,Rice,CA_Zone1,test,14,140,2021,0,0.04705,0.06695,0.0736,0.09455,0.05845,0.0646,0.0611,0.0406,0.02155,0.0195,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.56132680421562,39.29487072594761]}"
35,2,Rice,CA_Zone1,test,14,140,2021,0,0.0278,0.04615,0.05565,0.0864,0.09165,0.09805,0.092,0.0914,0.0502,0.0371,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.53922824822628,39.254177043576995]}"
36,2,Rice,CA_Zone1,test,14,140,2021,0,0.027,0.04645,0.0472,0.07375,0.07235,0.07615,0.07485,0.07085,0.0309,0.02335,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.69176218346978,39.49591368653356]}"
37,2,Rice,CA_Zone1,test,14,140,2021,0,0.042,0.0512,0.06005,0.06895,0.0558,0.06265,0.0603,0.05435,0.00875,0.0088,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.81546019809304,39.43958931821926]}"
38,2,Rice,CA_Zone1,test,14,140,2021,0,0.03545,0.04715,0.0522,0.0641,0.05265,0.0579,0.056,0.0492,0.02025,0.0162,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.7046979235611,39.21456133954732]}"
39,2,Rice,CA_Zone1,val,14,140,2021,0,0.03955,0.0519,0.0576,0.0611,0.03765,0.04215,0.0391,0.02825,0.01905,0.0166,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.72248456618667,39.38299545531974]}"
40,2,Rice,CA_Zone1,train,14,140,2021,0,0.0414,0.0623,0.0567,0.0831,0.09015,0.09455,0.0964,0.09285,0.07305,0.049,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.50608041424228,39.28894184507242]}"
41,2,Rice,CA_Zone1,test,14,140,2021,0,0.03155,0.0541,0.0455,0.07625,0.07735,0.08055,0.083,0.0738,0.03955,0.0293,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.79174467459228,39.12913155602756]}"
42,2,Rice,CA_Zone1,test,14,140,2021,0,0.0254,0.03715,0.0466,0.0618,0.05545,0.06315,0.06605,0.0623,0.0085,0.0067,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.74862554095454,39.374371628592186]}"
