pixel_id,class_name,zone,elevation,landforms,.geo
AR_Z2_00001,Corn,2,56,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.70414570784646,34.14172919363061]}"
AR_Z2_00003,Corn,2,60,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.50094679057862,34.26192377864581]}"
AR_Z2_00005,Corn,2,56,41,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.81463848779316,34.29480211804458]}"
AR_Z2_00002,Corn,2,58,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.7443004010466,34.17487702761463]}"
AR_Z2_00000,Corn,2,59,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.50040780140816,34.273242551225714]}"
AR_Z2_00007,Corn,2,58,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.7661294624507,34.19131619731401]}"
AR_Z2_00004,Corn,2,63,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.85721863226043,34.306120890624484]}"
AR_Z2_00006,Corn,2,55,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.61467350554815,34.16059381459712]}"
AR_Z2_00009,Corn,2,55,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.70145076199411,34.051987496747074]}"
AR_Z2_00010,Corn,2,59,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.84616935426575,34.17838045722269]}"
AR_Z2_00012,Corn,2,55,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.73648505807476,34.02638551114967]}"
AR_Z2_00013,Corn,2,63,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.89171393917061,34.32606348993194]}"
AR_Z2_00014,Corn,2,60,41,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.8149079823784,34.312588760670145]}"
AR_Z2_00015,Corn,2,54,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.67396231430004,34.044172153775236]}"
AR_Z2_00016,Corn,2,58,31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.8140994986227,34.27674598083378]}"
AR_Z2_00018,Corn,2,64,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.54999480509156,34.33522630582996]}"
AR_Z2_00020,Corn,2,55,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.81221303652605,34.07004363395788]}"
AR_Z2_00022,Corn,2,60,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.78876700761052,34.332800854562834]}"
AR_Z2_00023,Corn,2,65,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.89629534711963,34.329027930369534]}"
AR_Z2_00030,Corn,2,50,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.53220816246599,34.00994634145028]}"
AR_Z2_00033,Corn,2,51,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.58583758492792,34.033661864951036]}"
AR_Z2_00039,Corn,2,57,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.52250635739749,34.22473352588326]}"
AR_Z2_00042,Corn,2,56,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.52681827076127,34.27701547541901]}"
AR_Z2_00044,Corn,2,59,41,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.8157164661341,34.132566377732594]}"
AR_Z2_00049,Corn,2,61,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.84751682719194,34.34115518670515]}"
AR_Z2_00050,Corn,2,61,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.85506267557854,34.25329995191826]}"
AR_Z2_00051,Corn,2,55,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.64000599656033,34.15196998786958]}"
AR_Z2_00053,Corn,2,53,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.63569408319655,34.110467821743256]}"
AR_Z2_00054,Corn,2,57,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.70872711579547,34.14172919363061]}"
AR_Z2_00056,Corn,2,58,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.62572278354283,34.32067359822722]}"
AR_Z2_00057,Corn,2,63,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.95450617753058,34.320943092812456]}"
AR_Z2_00058,Corn,2,52,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.62464480520188,33.98326637751193]}"
AR_Z2_00059,Corn,2,51,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.52115888447132,34.093220168288155]}"
AR_Z2_00060,Corn,2,56,41,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.75319372235938,34.184578832683115]}"
AR_Z2_00061,Corn,2,61,41,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.82434029286165,34.296419085555996]}"
AR_Z2_00063,Corn,2,53,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.65455870416307,34.178110962637454]}"
AR_Z2_00066,Corn,2,63,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.54999480509156,34.3325313599776]}"
AR_Z2_00068,Corn,2,59,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.84320491382816,34.161671792938066]}"
AR_Z2_00070,Corn,2,56,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.73783253100095,34.08917774950962]}"
AR_Z2_00074,Corn,2,54,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.67234534678863,34.04255518626382]}"
AR_Z2_00080,Corn,2,57,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.69983379448269,34.190238218973064]}"
AR_Z2_00081,Corn,2,55,41,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.71708144793779,34.14927504201722]}"
AR_Z2_00083,Corn,2,58,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.80547567189514,34.10076601667477]}"
AR_Z2_00084,Corn,2,65,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.56508650186476,34.33333984373331]}"
AR_Z2_00086,Corn,2,55,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.64485689909458,34.11370175676608]}"
AR_Z2_00088,Corn,2,55,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.62680076188377,34.18511782185359]}"
AR_Z2_00090,Corn,2,57,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.81167404735557,34.29426312887411]}"
AR_Z2_00091,Corn,2,53,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.54244895670494,34.0447111429457]}"
AR_Z2_00093,Corn,2,61,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.82002837949788,34.29372413970364]}"
AR_Z2_00094,Corn,2,54,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.61682946223004,34.16221078210854]}"
AR_Z2_00095,Corn,2,56,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.6623740471349,34.12367305641981]}"
AR_Z2_00097,Corn,2,51,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.5375980541707,34.02045663027448]}"
AR_Z2_00101,Corn,2,57,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.82649624954354,34.06734868810552]}"
AR_Z2_00104,Corn,2,56,41,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.52789624910221,34.277284970004246]}"
AR_Z2_00105,Corn,2,61,41,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.83727603295297,34.330914392466184]}"
AR_Z2_00106,Corn,2,56,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.60281574379778,34.16894814673944]}"
AR_Z2_00107,Corn,2,55,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.83431159251538,34.026924500320135]}"
AR_Z2_00112,Corn,2,54,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.6127870434515,33.99081222589854]}"
AR_Z2_00113,Corn,2,55,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.64512639367982,34.11585771344797]}"
AR_Z2_00115,Corn,2,58,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.7359460689043,34.14442413948297]}"
AR_Z2_00116,Corn,2,59,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.53409462456264,34.346006089239395]}"
AR_Z2_00117,Corn,2,63,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.83808451670869,34.33468731665948]}"
AR_Z2_00119,Corn,2,54,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.62976520232137,34.17864995180793]}"
AR_Z2_00121,Corn,2,54,41,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.62383632144618,34.11073731632849]}"
AR_Z2_00125,Corn,2,51,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.54083198919353,34.04956204547995]}"
AR_Z2_00135,Corn,2,60,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.94237892119496,34.1438851503125]}"
AR_Z2_00138,Corn,2,59,41,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.82757422788448,34.320943092812456]}"
AR_Z2_00141,Corn,2,55,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.66129606879396,34.066809698935046]}"
AR_Z2_00145,Corn,2,56,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.8157164661341,34.07866746068542]}"
AR_Z2_00148,Corn,2,53,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.51010960647665,34.10238298418618]}"
AR_Z2_00157,Corn,2,55,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.708188126625,34.143346161142034]}"
AR_Z2_00162,Corn,2,51,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.57424931776278,34.03824327290005]}"
AR_Z2_00163,Corn,2,55,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.78229913756486,34.01776168442212]}"
AR_Z2_00164,Corn,2,53,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.6443179099241,34.112084789254666]}"
AR_Z2_00169,Corn,2,61,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.84158794631675,34.26542720825387]}"
AR_Z2_00170,Corn,2,49,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.53139967871027,34.01075482520599]}"
AR_Z2_00171,Corn,2,62,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.55888812640434,34.34654507840986]}"
AR_Z2_00172,Corn,2,62,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.92054985979085,34.2190741395933]}"
AR_Z2_00173,Corn,2,56,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.81760292823076,34.31690067403392]}"
AR_Z2_00177,Corn,2,52,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.66749444425439,34.03932125124099]}"
AR_Z2_00179,Corn,2,54,41,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.70091177282363,34.04713659421283]}"
AR_Z2_00180,Corn,2,56,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.62680076188377,34.17838045722269]}"
AR_Z2_00185,Corn,2,57,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.79604336141189,34.12906294812453]}"
AR_Z2_00188,Corn,2,59,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.81841141198646,34.316631179448684]}"
