pixel_id,class_name,zone,time_step,DOY,year,temperature_2m_C,dewpoint_temperature_2m_C,total_precipitation,temp_norm,prec_norm,dew_norm,.geo
AR_Z1_00000,Corn,1,26,260,2021,25.341836039225257,17.183397610982297,2.9883723603290057E-4,0.8185298787070548,0.006181183146083186,0.7976780367024839,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.65041465864982,35.650163073148]}"
AR_Z1_00001,Corn,1,26,260,2021,25.369350687662802,17.20013751983646,2.567609203020904E-4,0.8216915114264227,0.005353903247286277,0.8077732521248114,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.65041465864982,35.55016261571981]}"
AR_Z1_00002,Corn,1,26,260,2021,25.022434997558605,17.31915607452396,3.3349857873322307E-4,0.8114096811576975,0.006047042977601567,0.8186008313995222,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.55041420122163,35.85016398800437]}"
AR_Z1_00003,Corn,1,26,260,2021,25.235895284016976,17.284984525044763,3.0467295761259136E-4,0.823107724744723,0.006824522149895824,0.8206500291639143,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.55041420122163,35.650163073148]}"
AR_Z1_00004,Corn,1,26,260,2021,25.037449645996105,17.40063393910731,3.280716534366383E-4,0.8181076809227505,0.008211963551725791,0.8139544542793158,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.35041328636527,35.650163073148]}"
AR_Z1_00005,Corn,1,26,260,2021,25.57989756266278,16.93177814483647,2.764108564987951E-4,0.8266011309436105,0.005823353608943356,0.8039167391586539,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.750415116078,35.55016261571981]}"
AR_Z1_00006,Corn,1,26,260,2021,24.993162536621128,17.400064277648937,3.4279140851499376E-4,0.8143443351334856,0.006768323989238972,0.8282749560044561,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.45041374379345,35.85016398800437]}"
AR_Z1_00007,Corn,1,26,260,2021,25.102106221516976,17.37975177764895,3.575572252556854E-4,0.8169355500542402,0.007868118447071254,0.8238868489733016,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.45041374379345,35.75016353057618]}"
AR_Z1_00008,Corn,1,26,260,2021,25.233380635579465,17.220360501607274,3.441526218290303E-4,0.8142488781154095,0.006441639017834348,0.7994371654642313,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.65041465864982,35.75016353057618]}"
AR_Z1_00009,Corn,1,26,260,2021,25.341836039225257,17.183397610982297,2.9883723603290057E-4,0.8185298787070548,0.006181183146083186,0.7976780367024839,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.65041465864982,35.650163073148]}"
AR_Z1_00010,Corn,1,26,260,2021,25.339964294433628,17.220742988586437,2.623354602267517E-4,0.8274986356888134,0.0058389338087346775,0.820382871535417,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.55041420122163,35.55016261571981]}"
