pixel_id,class_name,zone,lon,lat,soil_ph,soil_clay,soil_organic,.geo
00000000000000000000,Corn,2,-91.50033000210935,34.27333293924619,5.8,19,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.49348663212415,34.257108826433296]}"
00000000000000000001,Corn,2,-91.70406632924129,34.14164230783478,5.9,23,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.71806545315403,34.12236153381537]}"
00000000000000000002,Corn,2,-91.74430971624864,34.17487598798611,5.8,20,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.76298121736001,34.16727729802135]}"
00000000000000000003,Corn,2,-91.50086955333681,34.261832917629356,5.8,19,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.49348663212415,34.257108826433296]}"
00000000000000000004,Corn,2,-91.85732117334717,34.30620989131325,5.8,19,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.85281274577196,34.30202459063928]}"
00000000000000000005,Corn,2,-91.81455839424463,34.29471432879747,5.9,20,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.80789698156597,34.30202459063928]}"
00000000000000000006,Corn,2,-91.61477283064603,34.160504305290864,6.0,23,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.62823392474208,34.16727729802135]}"
00000000000000000007,Corn,2,-91.76605229298524,34.191227511549094,6.0,18,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.76298121736001,34.21219306222732]}"
00000000000000000008,Corn,2,-91.62142135031672,34.17487598798611,6.0,23,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.62823392474208,34.16727729802135]}"
00000000000000000009,Corn,2,-91.70155139624714,34.0519876220542,6.0,36,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.71806545315403,34.032530005403416]}"
0000000000000000000a,Corn,2,-91.8461778798146,34.17829165939305,6.0,35,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.85281274577196,34.16727729802135]}"
0000000000000000000b,Corn,2,-91.69418496130685,34.04659656888059,6.0,41,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.67314968894806,34.032530005403416]}"
0000000000000000000c,Corn,2,-91.73658655322407,34.02629428178424,6.0,36,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.71806545315403,34.032530005403416]}"
0000000000000000000d,Corn,2,-91.89181231999557,34.325972627182125,5.9,22,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.89772850997794,34.34694035484525]}"
0000000000000000000e,Corn,2,-91.81491958142995,34.31268004694181,5.9,20,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.80789698156597,34.30202459063928]}"
0000000000000000000f,Corn,2,-91.67406103825265,34.04408163588644,6.0,41,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.67314968894806,34.032530005403416]}"
00000000000000000010,Corn,2,-91.81401884301715,34.27674861065314,6.0,23,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.80789698156597,34.257108826433296]}"
00000000000000000011,Corn,2,-91.70927901837277,34.046779392023765,6.0,36,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.71806545315403,34.032530005403416]}"
00000000000000000012,Corn,2,-91.54991520582367,34.335136079846954,5.9,23,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.53840239633013,34.34694035484525]}"
00000000000000000013,Corn,2,-91.81797406565155,34.328670383319455,5.8,17,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.80789698156597,34.34694035484525]}"
00000000000000000014,Corn,2,-91.81222182529261,34.07013616334172,6.0,35,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.80789698156597,34.07744576960939]}"
00000000000000000015,Corn,2,-91.70406632924129,34.18781184014217,6.0,26,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.71806545315403,34.16727729802135]}"
00000000000000000016,Corn,2,-91.78886951307572,34.33279951089495,5.8,17,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.80789698156597,34.34694035484525]}"
00000000000000000017,Corn,2,-91.89630709385744,34.32902711140374,5.9,22,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.89772850997794,34.34694035484525]}"
00000000000000000018,Corn,2,-91.54434578860793,33.95101573779997,6.0,23,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.53840239633013,33.94269847699147]}"
00000000000000000019,Corn,2,-91.51218675181046,34.01479871926846,6.1,40,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.49348663212415,34.032530005403416]}"
0000000000000000001a,Corn,2,-91.5278159010028,34.040309236395224,6.1,28,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.53840239633013,34.032530005403416]}"
0000000000000000001b,Corn,2,-91.78976579238746,34.141999035919056,6.0,31,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.80789698156597,34.12236153381537]}"
0000000000000000001c,Corn,2,-91.81401884301715,34.14056320537985,6.0,31,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.80789698156597,34.12236153381537]}"
0000000000000000001d,Corn,2,-91.88283169047394,34.31591289520556,6.0,30,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.89772850997794,34.30202459063928]}"
0000000000000000001e,Corn,2,-91.53212785172147,34.00994721732231,6.0,24,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.53840239633013,33.98761424119744]}"
0000000000000000001f,Corn,2,-91.54650399351777,34.11397358579815,6.2,29,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.53840239633013,34.12236153381537]}"
00000000000000000020,Corn,2,-91.6708281899889,34.05540329346114,6.0,27,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.67314968894806,34.07744576960939]}"
